First Name,Last Name,Title,Country,Company,Industry
,,director of compliance,United states,,
,,VP of compliance,United states,,
,,call center VP,United states,,
,,Dasher VP,United states,,
,,Dasher director,United states,,
,,Dasher supervisor,United states,,
,,Dasher manager,United states,,
,,telemarketing VP,United states,,
,,help desk VP,United states,,
,,help desk director,United states,,
,,telemarketing director,United states,,
,,supervisor of compliance,United states,,
,,Delivery Operations  VP,United states,,
,,Delivery Operations  director,United states,,
,,Delivery Operations  supervisor,United states,,
,,Delivery Operations  manager,United states,,
,,call center supervisor,United states,,
,,call center director,United states,,
,,call director,United states,,
,,call supervisor,United states,,
,,call VP,United states,,
,,telemarketing supervisor,United states,,
,,customer care VP,United states,,
,,customer care director,United states,,
,,customer care supervisor,United states,,
,,customer care manager,United states,,
,,Contact Center Quality supervisor,United states,,
,,Contact Center Quality manager,United states,,
,,Customer Success VP,United states,,
,,Customer Success director,United states,,
,,Customer Success supervisor,United states,,
,,Customer Success manager,United states,,
,,Customer Support VP,United states,,
,,Customer Support director,United states,,
,,Customer Support supervisor,United states,,
,,Customer Support manager,United states,,
,,Call Center Operations VP,United states,,
,,Call Center Operations director,United states,,
,,Call Center Operations supervisor,United states,,
,,Call Center Operations manager,United states,,
,,Customer Experience VP,United states,,
,,Customer Experience director,United states,,
,,Customer Experience supervisor,United states,,
,,Customer Experience manager,United states,,
,,Customer Service VP,United states,,
,,Customer Service director,United states,,
,,Customer Service supervisor,United states,,
,,Customer Service manager,United states,,
,,help desk supervisor,United states,,
,,help desk manager,United states,,
,,VP of Customer Service,United states,,
,,director of Customer Service,United states,,
,,Head of Customer Service,United states,,
,,Head of Contact Center Operations,United states,,
,,Head of Compliance,United states,,
,,Contact Center Quality VP,United states,,
,,Contact Center Quality director,United states,,
,,Support VP,United states,,
,,Support director,United states,,
,,Support supervisor,United states,,
,,Support manager,United states,,
,,Escalation VP,United states,,
,,Escalation director,United states,,
,,Escalation supervisor,United states,,
,,Escalation manager,United states,,
,,Trust & Safety VP,United states,,
,,Trust & Safety director,United states,,
,,Trust & Safety supervisor,United states,,
,,Trust & Safety manager,United states,,
,,CSR VP,United states,,
,,CSR director,United states,,
,,CSR supervisor,United states,,
,,CSR manager,United states,,
,,Payments VP,United states,,
,,Payments director,United states,,
,,Payments supervisor,United states,,
,,Payments manager,United states,,
,,Resolution VP,United states,,
,,Resolution director,United states,,
,,Resolution supervisor,United states,,
,,Resolution manager,United states,,
,,telephone banker VP,United states,,
,,telephone banker director,United states,,
,,telephone banker supervisor,United states,,
,,telephone banker manager,United states,,
,,Sales VP,United states,,
,,Sales director,United states,,
,,Sales supervisor,United states,,
,,Sales manager,United states,,
,,Onboarding VP,United states,,
,,Onboarding director,United states,,
,,Onboarding supervisor,United states,,
,,Onboarding manager,United states,,
,,Workforce Management VP,United states,,
,,Workforce Management director,United states,,
,,Workforce Management supervisor,United states,,
,,Workforce Management manager,United states,,
,,WFM VP,United states,,
,,WFM director,United states,,
,,WFM supervisor,United states,,
,,WFM manager,United states,,
,,Technical Support VP,United states,,
,,Technical Support director,United states,,
,,Technical Support supervisor,United states,,
,,Technical Support manager,United states,,
,,commerce Support VP,United states,,
,,commerce Support director,United states,,
,,commerce Support supervisor,United states,,
,,commerce Support manager,United states,,
,,Event Ticketing VP,United states,,
,,Event Ticketing director,United states,,
,,Event Ticketing supervisor,United states,,
,,Event Ticketing manager,United states,,
,,Customer Advocacy VP,United states,,
,,Customer Advocacy director,United states,,
,,Customer Advocacy supervisor,United states,,
,,Customer Advocacy manager,United states,,
,,Live Chat VP,United states,,
,,Live Chat director,United states,,
,,Live Chat supervisor,United states,,
,,Live Chat manager,United states,,
,,Service Desk VP,United states,,
,,Service Desk director,United states,,
,,Service Desk supervisor,United states,,
,,Service Desk manager,United states,,
,,Customer Care VP,United states,,
,,Customer Care director,United states,,
,,Customer Care supervisor,United states,,
,,Customer Care manager,United states,,
,,Escalation VP,United states,,
,,Escalation director,United states,,
,,Escalation supervisor,United states,,
,,Escalation manager,United states,,
,,Loyalty VP,United states,,
,,Loyalty director,United states,,
,,Loyalty supervisor,United states,,
,,Loyalty manager,United states,,
,,Booking VP,United states,,
,,Booking director,United states,,
,,Booking supervisor,United states,,
,,Booking manager,United states,,
,,Remote Sales VP,United states,,
,,Remote Sales director,United states,,
,,Remote Sales supervisor,United states,,
,,Remote Sales manager,United states,,
,,Virtual Receptionist VP,United states,,
,,Virtual Receptionist director,United states,,
,,Virtual Receptionist supervisor,United states,,
,,Virtual Receptionist manager,United states,,
,,Booking VP,United states,,
,,Booking director,United states,,
,,Booking supervisor,United states,,
,,Booking manager,United states,,
